c1,ecosystem_tenure,review_tenure,reviews,added_lines,removed_lines,no_files,sources,blocking_tenure,blocking_activity
6929,40,27,21,252,63,21,1,0,1
6930,38,36,416,4368,1456,416,1,4,2
6931,9,3,36,96,96,36,1,0,1
6932,0,0,24,132,0,24,0,0,1
6933,0,0,10,10,10,10,1,0,1
6934,0,0,10,0,40,10,1,0,1
6935,1,0,12,60,12,12,0,0,1
6936,0,0,10,140,160,10,1,0,1
6937,0,0,30,350,520,30,1,0,1
6938,0,0,10,10,10,10,1,0,1
6939,4,4,10,80,10,10,0,0,1
6940,6,6,10,90,40,10,1,0,1
6941,4,4,10,30,30,10,0,0,1
6942,0,0,90,250,140,90,1,0,1
6943,0,0,90,250,140,90,1,0,1
6944,21,1,24,552,168,24,0,0,1
6945,5,0,10,10,0,10,1,0,1
6946,167,3,24,996,0,24,0,0,1
6947,1,1,10,0,20,10,1,0,1
6948,4,1,12,24,36,12,1,0,1
6949,4,4,55,55,55,55,1,1,2
6950,1,1,10,10,10,10,1,0,1
6953,8,8,975,2574,4563,975,1,0,1
6954,1,1,10,20,20,10,1,0,1
6955,1,1,10,20,60,10,1,0,1
6956,1,1,10,70,220,10,1,0,1
6957,1,1,10,40,40,10,1,0,1
6958,1,1,10,40,40,10,1,0,1
6959,4,4,120,2445,1620,120,1,0,1
6960,14,6,120,1056,312,120,1,0,1
6961,5,5,10,100,10,10,0,0,1
6962,4,4,12,12,0,12,1,0,1
6963,89,4,10,40,0,10,1,0,1
6964,31,4,72,324,96,72,1,0,1
6965,6,0,30,6580,2030,30,1,0,1
6966,0,0,10,50,10,10,0,0,1
6967,5,5,10,30,40,10,1,0,1
6968,5,5,10,30,40,10,1,0,1
6969,47,47,20,280,100,20,1,11,1
6970,3,3,10,700,450,10,1,0,1
6971,0,0,10,10,10,10,1,0,1
6972,14,6,50,440,130,50,1,0,1
6973,1,1,24,216,0,24,0,0,1
6974,10,10,168,2072,2800,168,1,0,1
6979,7,7,108,444,624,108,1,2,1
6980,4,3,14,14,0,14,0,0,1
6981,3,0,10,10,0,10,0,0,1
6982,0,0,340,4030,6370,340,1,0,1
6983,0,0,90,90,220,90,1,0,1
6984,2,2,154,448,20524,154,1,0,1
6985,14,2,10,10,10,10,0,0,1
6986,1,1,24,215298,165918,24,0,0,1
6987,3,3,30,160,50,30,1,0,1
6988,3,3,63,336,105,63,1,0,1
6989,77,1,10,10,0,10,1,0,1
6990,1,0,12,234,162,12,0,0,1
6991,1,0,6,174,156,6,0,0,1
6992,1,0,6,144,132,6,0,0,1
6993,1,0,12,12,12,12,0,0,1
6994,1,0,6,108,78,6,0,0,1
6995,1,0,6,24,6,6,0,0,1
6996,1,0,18,30,246,18,0,0,1
6997,1,0,6,24,198,6,0,0,1
6998,1,0,12,66,12,12,0,0,1
6999,1,0,12,12,18,12,0,0,1
7000,1,0,12,24,54,12,0,0,1
7001,1,0,12,108,42,12,0,0,1
7002,1,0,36,1440,1110,36,0,0,1
7003,2,0,12,120,36,12,0,0,1
7004,2,0,6,54,48,6,0,0,1
7005,2,0,18,126,24,18,0,0,1
7006,2,0,18,276,264,18,0,0,1
7007,2,0,24,114,48,24,0,0,1
7008,3,0,6,102,42,6,0,0,1
7009,3,0,24,84,66,24,0,0,1
7010,3,0,6,216,72,6,0,0,1
7011,3,0,6,18,12,6,0,0,1
7012,3,0,30,306,72,30,0,0,1
7013,3,0,12,150,90,12,0,0,1
7014,3,0,30,900,768,30,0,0,1
7015,3,0,6,312,72,6,0,0,1
7016,4,0,6,12,12,6,1,0,1
7017,0,0,54,378,135,54,1,0,1
7018,1,1,20,360,80,20,0,0,1
7019,35,22,6,24,24,6,1,0,1
7020,0,0,50,450,290,50,1,0,1
7021,1,1,10,20,0,10,1,0,1
7022,0,0,40,20,13910,40,0,0,1
7023,0,0,50,0,60,50,1,0,1
7024,0,0,70,0,80,70,1,0,1
7025,1,0,24,72,144,24,1,0,1
7026,6,6,30,80,80,30,1,0,1
7027,29,29,792,4536,8856,792,1,12,2
7028,0,0,72,72,72,72,1,0,1
7029,3,3,54,81,621,54,1,0,1
7030,3,3,27,9,135,27,1,0,1
7031,0,0,10,10,10,10,1,0,1
7032,1,0,10,30,40,10,0,0,1
7033,0,0,10,30,0,10,0,0,1
7034,1,0,20,20,60,20,1,0,1
7035,1,0,10,50,50,10,0,0,1
7036,1,0,10,110,110,10,1,0,1
7037,1,0,10,30,30,10,0,0,1
7038,12,12,280,1036,1036,280,0,0,1
7039,0,0,10,10,0,10,0,0,1
7040,12,12,168,1232,112,168,1,1,1
7041,0,0,30,100,100,30,1,0,1
7042,0,0,10,20,20,10,0,0,1
7043,10,10,52076,413506,406644,52076,1,0,1
7044,1,1,10,60,20,10,0,0,1
