change_id,ecosystem_tenure,review_tenure,reviews,added_lines,removed_lines,no_files,sources,blocking_tenure,blocking_activity
954,1,1,3,159,153,3,1,0,1
955,1,1,3,888,888,3,1,0,1
956,1,1,3,480,480,3,1,0,1
957,1,1,12,96,138,12,1,0,1
958,0,0,4,64,4,4,0,0,1
959,21,21,24,108,36,24,0,18,1
960,8,8,590,815,815,590,0,0,1
961,12,12,252,4494,3717,252,1,1,2
962,1,1,40,4185,1155,40,0,1,2
963,0,0,33,231,231,33,0,0,1
964,8,8,270,4812,6474,270,0,0,1
965,0,0,6,12,6,6,1,0,1
966,0,0,72,1068,1008,72,1,0,1
967,1,1,44,4840,1364,44,1,0,1
968,7,7,128,0,5824,128,0,0,1
969,1,1,7,21,322,7,1,0,1
970,1,1,25,195,395,25,1,0,1
971,1,1,1375,23485,18205,1375,0,0,1
972,6,6,144,360,360,144,0,0,1
973,18,18,40,1640,0,40,1,0,1
974,2,2,135,351,945,135,1,0,1
975,14,10,1260,67060,10815,1260,1,0,2
976,22,22,3040,71364,15770,3040,1,0,1
977,13,12,2664,10818,8640,2664,1,0,1
978,20,13,1311,12008,14554,1311,1,0,1
979,0,0,570,3552,600,570,0,0,1
980,0,0,18,2916,3474,18,1,0,1
981,0,0,9,207,0,9,0,0,1
982,1,1,39,195,117,39,1,0,2
983,6,6,28,588,70,28,1,0,1
984,16,16,42,980,1246,42,1,0,1
985,1,0,12,216,120,12,1,0,1
986,1,0,5,25,15,5,1,0,1
987,7,7,798,0,0,798,0,0,1
988,2,2,72,870,60,72,0,0,1
989,0,0,18,18,288,18,0,0,1
990,12,12,518,14504,1036,518,1,0,1
991,45,0,6,195,27,6,0,0,1
992,45,0,39,1581,936,39,1,0,1
993,1,1,33,594,330,33,1,0,1
994,0,0,9,9,66,9,0,0,1
995,0,0,33,803,11,33,0,0,1
996,0,0,6,6,0,6,0,0,1
997,0,0,3,3,3,3,0,0,1
998,0,0,6,105,66,6,0,0,1
999,0,0,6,0,42,6,0,0,1
1000,0,0,3,6,0,3,0,0,1
1001,12,12,16,16,16,16,1,0,1
1002,13,12,32,48,16,32,1,0,1
1003,5,3,16,816,288,16,0,0,1
1004,2,1,5,25,25,5,1,0,1
1005,14,14,180,234,2898,180,0,0,1
1006,14,14,198,1080,306,198,0,0,1
1007,17,17,3776,19392,37280,3776,1,1,1
1008,14,14,18,0,1836,18,0,0,1
1009,14,14,18,18,0,18,0,0,2
1010,808,808,220,2926,946,220,1,0,2
1011,3,3,20,60,0,20,1,0,1
1012,18,18,1435,31242,17507,1435,1,1,2
1013,1,1,20,8930,9830,20,0,0,1
1014,6,6,56,182,210,56,0,0,1
1015,1,1,120,712,880,120,1,0,1
1016,1,1,10,10,10,10,1,0,1
1017,4,4,210,1064,2310,210,1,0,1
1018,3,3,12,396,0,12,0,0,1
1019,0,0,12,12,12,12,0,0,1
1020,14,10,80,660,60,80,1,0,1
1021,0,0,492,744,744,492,1,0,1
1022,0,0,40,80,80,40,0,0,1
1023,0,0,20,375,155,20,1,0,1
1024,0,0,12,24,96,12,1,0,1
1025,0,0,24,320,432,24,1,0,1
1026,0,0,5,35,15,5,0,0,1
1027,17,17,1488,9641,930,1488,1,0,1
1028,1,1,60,5400,5340,60,1,1,2
1029,14,14,1333,8557,6278,1333,1,0,2
1030,0,0,10,70,10,10,0,0,1
1031,1,1,51,119,255,51,0,0,2
1032,1,1,65,143,312,65,0,0,1
1033,0,0,16,88,16,16,1,0,1
1034,0,0,5,5,5,5,1,0,1
1035,0,0,5,15,5,5,0,0,1
1036,0,0,88,187,55,88,0,0,1
1037,0,0,10,130,10,10,1,0,1
1038,0,0,4410,33525,28710,4410,0,0,1
1039,1,1,5,15,15,5,0,0,1
1040,1,1,12,48,72,12,0,0,1
1041,0,0,5,50,5,5,1,0,1
1042,0,0,16,352,56,16,1,0,1
1043,0,0,15,45,0,15,0,0,1
1044,0,0,8,128,0,8,0,0,1
1048,0,0,46,184,92,46,0,0,1
1049,1,1,20,80,40,20,1,0,1
1050,1,1,9823,406832,705,9823,0,0,1
1051,1,1,60,195,210,60,1,0,1
1052,0,0,72,1632,324,72,1,0,1
1053,0,0,5,100,135,5,0,0,1
1054,0,0,27,891,36,27,1,0,1
1055,0,0,15,1185,5,15,1,0,1
1056,1,1,816,19380,5831,816,1,0,1
1057,0,0,195,2590,170,195,1,0,1
1058,0,0,30,175,300,30,0,0,1
1059,0,0,25,360,75,25,1,0,1
1060,99,90,126,7686,1260,126,1,90,2
1061,0,0,396,5598,4230,396,1,0,1
1062,0,0,273,10647,14,273,1,0,1
1063,0,0,5,10,10,5,1,0,1
1064,1,1,161,1150,575,161,1,0,1
1065,55,55,1222,26837,233590,1222,0,0,1
1066,0,0,15,36,18,15,0,0,1
1067,0,0,18,30,30,18,0,0,1
1068,3,1,24,56,48,24,1,1,1
1069,1,1,8,112,112,8,0,1,1
1070,1,1,8,56,2008,8,1,1,1
1071,217,217,90,90,270,90,1,1,1
1072,1,1,8,388,184,8,1,1,1
1073,0,0,592,26624,224,592,1,0,1
1074,111,2,156,9552,3636,156,1,0,1
1075,0,0,85,51,561,85,0,0,1
1076,0,0,170,1700,340,170,1,0,1
1077,0,0,200,8304,2192,200,1,0,1
1078,1,1,350,4830,3654,350,1,0,1
1079,7,7,2464,87912,704,2464,1,0,2
1080,358,358,128,3072,448,128,1,0,2
1081,0,0,99,99,1947,99,1,0,1
1082,328,0,5,35,25,5,1,0,1
1083,0,0,33,165,66,33,1,0,1
1084,1,1,10,50,70,10,1,0,1
1085,0,0,8,60,24,8,0,0,1
1086,0,0,5,185,60,5,0,0,1
1087,2,0,128,2848,96,128,1,0,1
1088,0,0,45,2480,20,45,1,0,1
1089,1,1,36,4968,0,36,1,0,1
1090,0,0,70,1460,85,70,1,0,1
1091,0,0,315,588,588,315,0,0,1
1092,1,0,5,25,0,5,1,0,1
1093,1,1,112,5184,24,112,0,1,1
1094,1,1,8,1848,0,8,1,1,1
1096,3,1,6,117,0,6,1,1,1
1097,1,1,7,14,7,7,1,0,1
1098,0,0,40,20,20,40,0,0,1
1099,92,92,1100,76775,1425,1100,1,57,2
1100,0,0,16,73152,0,16,0,0,1
1101,4,2,20,240,40,20,1,0,1
1102,0,0,558,870,870,558,0,0,1
1103,0,0,18,78,108,18,1,0,1
1104,0,0,6,3,3,6,0,0,1
1105,0,0,12,12,12,12,0,0,1
1106,1,1,120,165,60,120,0,0,1
1107,12,12,357,8959,1938,357,1,0,2
1108,0,0,12,12,0,12,0,0,1
1109,6,6,161,322,161,161,0,0,1
1110,0,0,6,6,6,6,1,0,1
1111,0,0,330,830,170,330,1,0,1
1112,1,1,20,60,40,20,1,0,1
1113,0,0,5,695,120,5,0,0,1
1114,0,0,33,0,33,33,0,0,1
1115,83,5,12,168,12,12,1,0,1
1116,0,0,5571,0,0,5571,0,0,1
1117,83,5,24,72,72,24,1,0,1
1118,79,5,12,1260,1176,12,1,0,1
1119,6,5,24,24,60,24,0,0,1
1120,6,6,24,36,24,24,0,0,1
1121,1,1,250,3730,170,250,1,0,1
1122,0,0,3,3,3,3,0,0,1
1123,0,0,6,9,9,6,0,0,1
1124,0,0,5,25,0,5,0,0,1
1125,0,0,3,21,3,3,0,0,1
1126,0,0,5,50,15,5,1,0,1
1127,3,3,45,45,45,45,0,0,1
1128,0,0,16,224,176,16,0,0,1
1129,0,0,5,5,5,5,0,0,1
1130,0,0,5,5,5,5,0,0,1
1131,51,51,20,244,136,20,0,0,1
1132,51,51,32,32,32,32,0,0,1
1133,0,0,36,672,24,36,1,0,1
1134,0,0,72,312,816,72,1,0,1
1135,1,1,88,275,297,88,1,0,1
1136,2,2,40,290,10,40,0,1,2
1137,20,7,132,869,0,132,0,2,2
1139,0,0,30,260,110,30,1,0,1
1140,15,15,60,300,150,60,1,0,1
1141,16,16,18,18,18,18,0,0,1
1142,20,20,40,140,0,40,0,2,1
1143,0,0,5,40,0,5,1,0,1
1144,0,0,20,80,40,20,1,0,1
1145,0,0,15,910,15,15,1,0,1
1146,1,0,6,246,282,6,1,0,1
1147,14,14,36,4860,1344,36,0,0,1
1148,15,15,85,4097,544,85,1,0,1
1149,0,0,15,805,20,15,1,0,1
1150,1,1,24,24,72,24,1,0,1
1151,0,0,5,5,5,5,0,0,1
1152,5,5,560,18740,200,560,1,0,1
1153,1,1,16,656,752,16,1,0,1
1154,0,0,10,315,320,10,1,0,1
1155,1,0,99,66,66,99,0,0,2
1156,1,1,144,96,96,144,0,0,3
1157,1,1,72,924,144,72,0,0,1
1158,2,2,3,3,3,3,0,0,1
